id,name,address,city,district,lat,lon,url_2gis,parking_type,paid,tariff,capacity,parent_object,hours,rating,review_count,has_photos
9430047408908470_24e3zyksdBdB9A822J8H1J2JHGII0H26AjjApf4939-c17d01678734I19939492-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297500474H57J2HI2,"проспект Достык, 56/1",,Алматы,,,,https://2gis.kz/almaty/geo/9430047408908470_24e3zyksdBdB9A822J8H1J2JHGII0H26AjjApf4939-c17d01678734I19939492-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297500474H57J2HI2,частная,,,,,24/7,4.7,10,True
70000001054847834_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I164B57A5-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H78I1I70J62370b8,Парковка ТК Армада,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054847834_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I164B57A5-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H78I1I70J62370b8,частная,,,,,See 2GIS,1.6,11,True
70000001093698072_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A39A829-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H79I1I70J62370c2,"Almaty Parking, парковка №2024",,Алматы,,,,https://2gis.kz/almaty/geo/70000001093698072_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A39A829-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H79I1I70J62370c2,частная,,,,,24/7,,,True
70000001097175310_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A748553-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000011H7AI1I70J62370f8,"Almaty Parking, парковка №4801",,Алматы,,,,https://2gis.kz/almaty/geo/70000001097175310_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A748553-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000011H7AI1I70J62370f8,частная,,,,,24/7,5,3,True
70000001090075383_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A03855A-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000014H7BI1I70J62370b1,"Almaty Parking, парковка №2009",,Алматы,,,,https://2gis.kz/almaty/geo/70000001090075383_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A03855A-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000014H7BI1I70J62370b1,частная,,,,,See 2GIS,,,False
9430468281761864_24e3zyksdBdB9A822J8H1J2JHGII0Hf7AjjApf4939-c17d01678734I92792886-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297504682H5CJ2HI2,Парковка ТРЦ Mega Alma-Ata,,Алматы,,,,https://2gis.kz/almaty/geo/9430468281761864_24e3zyksdBdB9A822J8H1J2JHGII0Hf7AjjApf4939-c17d01678734I92792886-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297504682H5CJ2HI2,частная,,,,,See 2GIS,1.9,3,False
70000001057443892_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I167753AB-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H83I1I70J62370Ab,"Almaty Parking, парковка №4012",,Алматы,,,,https://2gis.kz/almaty/geo/70000001057443892_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I167753AB-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H83I1I70J62370Ab,частная,,,,,24/7,5,1,False
70000001096763088_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A6A732A-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019H84I1I70J623706a,"Parqour, парковка МФК Villa",,Алматы,,,,https://2gis.kz/almaty/geo/70000001096763088_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A6A732A-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019H84I1I70J623706a,частная,,,,,24/7,1,5,True
70000001089353028_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I19966324-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019H85I1I70J6237012,"Almaty Parking, парковка №2004",,Алматы,,,,https://2gis.kz/almaty/geo/70000001089353028_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I19966324-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019H85I1I70J6237012,частная,,,,,24/7,1,1,True
70000001101626912_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I211936B3-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H86I1I70J6237071,Парковка ТРК Maxima,,Алматы,,,,https://2gis.kz/almaty/geo/70000001101626912_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I211936B3-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H86I1I70J6237071,ТЦ,,,,,See 2GIS,4.7,15,True
70000001113799972_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I223AA9B9-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H87I1I70J62370g2,"Urban parking, платная парковка",,Алматы,,,,https://2gis.kz/almaty/geo/70000001113799972_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I223AA9B9-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H87I1I70J62370g2,частная,,,,,24/7,1.2,2,False
70000001093671699_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A39818B-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G273200001AH88I1I70J6237028,"Parqour, парковка МФК Villa",,Алматы,,,,https://2gis.kz/almaty/geo/70000001093671699_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A39818B-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G273200001AH88I1I70J6237028,частная,,,,,24/7,4.3,7,True
9430468281761993_24e3zyksdBdB9A822J8H1J2JHGII0H95AjjApf4939-c17d01678734I927929B5-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297504682H69J2HI2,Парковка гипермаркета Метро,,Алматы,,,,https://2gis.kz/almaty/geo/9430468281761993_24e3zyksdBdB9A822J8H1J2JHGII0H95AjjApf4939-c17d01678734I927929B5-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297504682H69J2HI2,частная,,,,,See 2GIS,4.8,0,True
70000001089496699_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1997A68B-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G273200001AH8AI1I70J62370g1,"Almaty Parking, парковка №2047",,Алматы,,,,https://2gis.kz/almaty/geo/70000001089496699_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1997A68B-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G273200001AH8AI1I70J62370g1,частная,,,,,24/7,5,2,False
70000001110555928_924e3zyc17d0dB4I38361H8BI1IHAjjApf4504839-2465J281J2J73278B-d8dd33G4G2B1678730865B49ksf8i3bdB9A8289322J8H00001223HII3HJIHGI2G27,"Arilan Energy, станция зарядки электромобилей",,Алматы,,,,https://2gis.kz/almaty/geo/70000001110555928_924e3zyc17d0dB4I38361H8BI1IHAjjApf4504839-2465J281J2J73278B-d8dd33G4G2B1678730865B49ksf8i3bdB9A8289322J8H00001223HII3HJIHGI2G27,частная,,,,,24/7,5,1,False
